feature,mean_abs_shap
NDVI_dtharv,0.06739534
CROSS_RATIO_DB_doy_peak,0.044273254
WDRVI_integral,0.041874643
VH_backscatter_db_integral,0.041844733
VV_mean_integral,0.041756514
CIre_integral,0.041668374
RFDI_integral,0.040602624
CROSS_RATIO_DB_integral,0.03429185
RVI_integral,0.032765634
DpRVI_doy_peak,0.029741924
CIre2_integral,0.027288783
VV_mean_dtharv,0.025854735
EVI_dtharv,0.021630289
VV_mean_doy_peak,0.021407207
CCCI_integral,0.020332573
RVI_doy_peak,0.01952173
EVI_integral,0.018072452
RENDVI_doy_peak,0.018061073
RFDI_doy_peak,0.017793998
B04_mean_integral,0.017546805
B11_mean_integral,0.017328292
VH_backscatter_db_doy_peak,0.016692175
VH_mean_doy_peak,0.015416375
GNDVI_doy_peak,0.014434148
B8A_mean_integral,0.013545706
B08_mean_integral,0.013282994
NDWI_doy_peak,0.012064952
B08_mean_doy_peak,0.011770505
season_span_days,0.010716112
RENDVI_integral,0.010361916
LSWI2_doy_peak,0.010335503
SAVI_integral,0.009429917
NDVI_integral,0.009265055
VH_mean_dtharv,0.009009777
B12_mean_integral,0.008976346
B04_mean_doy_peak,0.008874953
NDRE_doy_peak,0.008181431
GNDVI_integral,0.0080738785
WDRVI_doy_peak,0.007825036
EVI_doy_peak,0.0069959476
B11_mean_doy_peak,0.006144696
NDVI_doy_peak,0.005534014
NDWI_integral,0.004734221
NDVI_int_x_NDRE_int,0.0046770005
SAR_opt_dtharv_diff,0.004487752
RVI_dtharv,0.004323132
NBR_doy_peak,0.004167651
NDRE_dtharv,0.003851805
B8A_mean_doy_peak,0.0037287683
B12_mean_doy_peak,0.003293473
CCCI_doy_peak,0.003144813
CIre2_doy_peak,0.0025413712
NDMI_doy_peak,0.002095197
CIre_doy_peak,0.0020203632
MSAVI2_doy_peak,0.0015649197
NDMI_dtharv,0.001072471
SAVI_doy_peak,0.0009317021
NDWI_dtharv,0.0007314497
CROSS_RATIO_DB_dtharv,0.0003018075
DpRVI_dtharv,0.00029665322
NBR_dtharv,0.0002228722
GNDVI_dtharv,0.0
WDRVI_dtharv,0.0
MSAVI2_dtharv,0.0
SAVI_dtharv,0.0
B12_mean_dtharv,0.0
B11_mean_dtharv,0.0
B08_mean_dtharv,0.0
B8A_mean_dtharv,0.0
B04_mean_dtharv,0.0
CIre_dtharv,0.0
LSWI2_dtharv,0.0
CCCI_dtharv,0.0
CIre2_dtharv,0.0
RENDVI_dtharv,0.0
RFDI_dtharv,0.0
VH_backscatter_db_dtharv,0.0
